Company,TypeName,OpSys,Resolution_Width,Resolution_Height,Pixels,IPS,Touchscreen,Inches,Weight,Ram,Memory_SSD,Memory_HDD,Memory_Hybrid,Memory_Flash,Gpu_Nvidia,Gpu_AMD,Gpu_Intel,Gpu_ARM,Cpu_Intel,Cpu_AMD,Cpu_Samsung,Cpu_GHz,Price
Dell,2 in 1 Convertible,Windows 10,1920,1080,2073600,0,1,13.3,1.62,8,256,0,0,0,0,0,1,0,1,0,0,1.6,43636.32
HP,Ultrabook,Windows 10,1920,1080,2073600,0,0,15.6,1.91,8,256,0,0,0,0,0,1,0,1,0,0,1.8,35111.52
Dell,Notebook,Windows 10,1366,768,1049088,0,0,15.6,2.3,4,0,1024,0,0,0,0,1,0,1,0,0,2.0,22305.1392
Apple,Ultrabook,Mac OS X,1440,900,1296000,0,0,13.3,1.35,8,0,0,0,128,0,0,1,0,1,0,0,1.6,58554.72
Dell,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,2.2,8,256,0,0,0,0,1,0,0,1,0,0,1.6,42624.0
Dell,Ultrabook,Windows 10,1920,1080,2073600,0,0,15.6,1.88,8,512,0,0,0,0,0,1,0,1,0,0,1.9,69157.44
HP,Notebook,Windows 10,1920,1080,2073600,0,0,17.3,2.5,8,0,1024,0,0,1,0,0,0,1,0,0,1.6,47738.88
Chuwi,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,1.89,4,0,0,0,64,0,0,1,0,1,0,0,1.44,13053.0672
Asus,Notebook,Windows 10,1366,768,1049088,0,0,14.0,1.65,2,0,0,0,32,0,1,0,0,0,1,0,1.5,10602.72
HP,Notebook,Windows 10,1920,1080,2073600,0,0,17.3,2.71,4,0,500,0,0,0,1,0,0,0,1,0,2.5,23389.92
Dell,Ultrabook,Windows 10,3200,1800,5760000,0,1,13.3,1.2,16,512,0,0,0,0,0,1,0,1,0,0,1.8,99580.32
Apple,Ultrabook,Mac OS X,1440,900,1296000,0,0,13.3,1.35,8,0,0,0,256,0,0,1,0,1,0,0,1.6,53173.44
Lenovo,Notebook,Windows 10,1366,768,1049088,0,0,14.0,1.44,4,0,0,0,64,0,0,1,0,1,0,0,1.1,13266.72
Acer,Notebook,Linux,1366,768,1049088,0,0,15.6,2.1,4,0,1024,0,0,0,0,1,0,1,0,0,2.7,19553.76
Dell,Notebook,Windows 10,1920,1080,2073600,1,0,17.3,2.8,8,128,1024,0,0,0,1,0,0,1,0,0,1.6,52161.12
HP,Notebook,Windows 10,1366,768,1049088,0,0,15.6,1.86,4,0,1024,0,0,0,0,1,0,1,0,0,2.5,26037.4032
HP,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,2.1,8,256,0,0,0,1,0,0,0,1,0,0,1.6,46833.12
Asus,Notebook,Linux,1920,1080,2073600,0,0,15.6,2.0,4,0,1024,0,0,0,0,1,0,1,0,0,2.0,20725.92
Dell,Gaming,Windows 10,1920,1080,2073600,1,0,15.6,2.65,16,256,1024,0,0,1,0,0,0,1,0,0,2.8,79866.72
Asus,Notebook,Linux,1366,768,1049088,0,0,15.6,2.3,8,0,1024,0,0,1,0,0,0,1,0,0,2.5,27864.9072
Acer,Notebook,Windows 10,1920,1080,2073600,1,0,15.6,2.2,4,256,0,0,0,0,0,1,0,1,0,0,1.6,36336.96
Dell,2 in 1 Convertible,Windows 10,1920,1080,2073600,0,1,17.3,2.77,12,0,1024,0,0,1,0,0,0,1,0,0,1.6,53226.72
Apple,Ultrabook,macOS,2560,1600,4096000,1,0,13.3,1.37,8,256,0,0,0,0,0,1,0,1,0,0,2.0,75604.32
Lenovo,Notebook,No OS,1366,768,1049088,0,0,15.6,2.2,4,128,0,0,0,0,0,1,0,1,0,0,2.0,19660.32
Asus,Gaming,Windows 10,1920,1080,2073600,0,0,17.3,3.2,8,256,1024,0,0,0,1,0,0,0,1,0,3.0,69210.72
Dell,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,2.3,4,256,0,0,0,0,1,0,0,1,0,0,2.5,34045.92
Asus,Notebook,Windows 10,1366,768,1049088,0,0,17.3,2.8,4,0,1024,0,0,1,0,0,0,1,0,0,1.1,24828.48
Lenovo,2 in 1 Convertible,Android,1920,1200,2304000,1,1,10.1,0.69,4,0,0,0,64,0,0,1,0,1,0,0,1.44,16996.32
Acer,Notebook,Windows 10,1920,1080,2073600,1,0,15.6,2.2,8,256,0,0,0,1,0,0,0,1,0,0,1.8,44808.48
HP,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,1.86,4,256,0,0,0,0,1,0,0,0,1,0,2.5,21231.5472
HP,Notebook,Windows 10,1920,1080,2073600,0,0,13.3,1.49,8,512,0,0,0,0,0,1,0,1,0,0,1.8,58767.84
Acer,Notebook,Windows 10,1366,768,1049088,0,0,15.6,2.4,4,0,1024,0,0,0,0,1,0,1,0,0,2.4,20459.52
Dell,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,2.13,8,256,0,0,0,0,1,0,0,1,0,0,1.8,40908.384
HP,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,1.91,4,128,0,0,0,0,0,1,0,1,0,0,2.0,23389.92
Asus,Notebook,Windows 10,1366,768,1049088,0,0,15.6,2.0,4,256,0,0,0,0,0,1,0,1,0,0,2.5,31232.2032
MSI,Gaming,Windows 10,1920,1080,2073600,0,0,17.3,2.43,16,256,2048,0,0,1,0,0,0,1,0,0,2.8,130482.72
Asus,Notebook,Linux,1920,1080,2073600,0,0,15.6,2.0,4,256,0,0,0,0,0,1,0,1,0,0,2.0,22111.2
Dell,Notebook,Windows 10,1920,1080,2073600,0,0,17.3,2.8,16,256,2048,0,0,0,1,0,0,1,0,0,1.8,69210.72
Dell,Ultrabook,Windows 10,1920,1080,2073600,0,0,14.0,1.7,8,256,0,0,0,0,0,1,0,1,0,0,1.6,46833.12
Lenovo,Notebook,No OS,1920,1080,2073600,1,0,14.0,1.7,8,256,0,0,0,0,0,1,0,1,0,0,2.7,31914.72
Asus,Notebook,Windows 10,1920,1080,2073600,0,0,14.0,1.4,8,256,0,0,0,0,0,1,0,1,0,0,1.6,50136.48
HP,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,1.86,8,256,0,0,0,0,0,1,0,1,0,0,2.5,36763.2
Asus,Ultrabook,Windows 10,1920,1080,2073600,0,0,15.6,1.8,16,512,0,0,0,1,0,0,0,1,0,0,2.8,105654.24
HP,Notebook,Windows 10,1366,768,1049088,0,0,15.6,1.86,4,0,500,0,0,0,1,0,0,1,0,0,2.0,23373.4032
HP,Notebook,Windows 10,1366,768,1049088,0,0,14.0,1.44,4,32,0,0,0,0,0,1,0,1,0,0,1.6,12201.12
Lenovo,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,1.9,4,0,1024,0,0,0,0,1,0,1,0,0,2.5,29250.72
Asus,Gaming,Linux,1920,1080,2073600,0,0,17.3,3.0,12,0,1024,0,0,1,0,0,0,1,0,0,2.8,50562.72
Microsoft,Ultrabook,Windows 10 S,2256,1504,3393024,0,1,13.5,1.252,4,128,0,0,0,0,0,1,0,1,0,0,2.5,58021.92
Dell,Ultrabook,Windows 10,1920,1080,2073600,1,0,13.3,1.4,8,256,0,0,0,0,1,0,0,1,0,0,1.8,50882.4
Dell,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,2.2,8,256,0,0,0,0,1,0,0,1,0,0,1.8,46353.6
MSI,Gaming,Windows 10,1920,1080,2073600,0,0,17.3,2.7,8,128,1024,0,0,1,0,0,0,1,0,0,2.5,58341.6
Acer,Notebook,Windows 10,1366,768,1049088,0,0,14.0,2.1,8,0,1024,0,0,0,0,1,0,1,0,0,2.0,20725.92
Asus,Gaming,Windows 10,1920,1080,2073600,0,0,15.6,2.2,8,0,1024,0,0,1,0,0,0,1,0,0,2.8,50562.72
Lenovo,Notebook,No OS,1920,1080,2073600,0,0,15.6,2.2,8,0,2048,0,0,0,0,1,0,1,0,0,2.5,27652.32
Dell,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,2.02,8,128,1024,0,0,0,0,1,0,1,0,0,1.8,45554.4
Acer,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,2.2,4,0,1024,0,0,1,0,0,0,1,0,0,2.7,28238.4
HP,Notebook,Windows 10,1920,1080,2073600,0,0,17.3,2.5,8,128,1024,0,0,1,0,0,0,1,0,0,1.6,52054.56
Dell,Ultrabook,Windows 10,1920,1080,2073600,1,0,15.6,1.88,8,256,0,0,0,0,0,1,0,1,0,0,1.6,58403.4048
Apple,Ultrabook,macOS,2304,1440,3317760,1,0,12.0,0.92,8,512,0,0,0,0,0,1,0,1,0,0,1.3,80452.8
HP,Notebook,Windows 10,1920,1080,2073600,0,0,14.0,1.63,8,256,0,0,0,0,0,1,0,1,0,0,1.6,45820.8
Lenovo,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,2.2,4,128,0,0,0,0,1,0,0,0,1,0,2.5,21258.72
Acer,Notebook,Windows 10,1366,768,1049088,0,0,15.6,2.1,4,0,1024,0,0,0,1,0,0,0,1,0,3.0,21045.6
Dell,Gaming,Windows 10,1920,1080,2073600,1,0,15.6,2.65,16,128,1024,0,0,1,0,0,0,1,0,0,2.8,71874.72
HP,Ultrabook,Windows 10,1920,1080,2073600,1,0,15.6,1.83,8,256,0,0,0,1,0,0,0,1,0,0,1.8,37242.72
HP,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,1.96,8,256,0,0,0,0,0,1,0,1,0,0,2.5,31914.1872
Asus,Gaming,Windows 10,1920,1080,2073600,1,0,15.6,2.2,16,128,1024,0,0,1,0,0,0,1,0,0,2.8,77202.72
Dell,Ultrabook,Windows 10,1920,1080,2073600,1,0,13.3,1.21,8,256,0,0,0,0,0,1,0,1,0,0,1.8,87858.72
Asus,Gaming,Windows 10,1920,1080,2073600,0,0,15.6,2.45,8,0,1024,0,0,0,1,0,0,0,1,0,3.0,37242.72
Acer,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,2.2,8,0,1024,0,0,1,0,0,0,1,0,0,1.8,36709.92
HP,Notebook,Windows 10,1920,1080,2073600,0,0,13.3,1.49,16,512,0,0,0,0,0,1,0,1,0,0,1.8,63776.16
Dell,Gaming,Windows 10,1920,1080,2073600,0,0,15.6,2.65,8,256,0,0,0,1,0,0,0,1,0,0,2.5,63669.6
Asus,Ultrabook,Windows 10,1920,1080,2073600,0,0,14.0,1.25,8,256,0,0,0,0,0,1,0,1,0,0,2.7,55890.72
Acer,2 in 1 Convertible,Windows 10,1920,1080,2073600,1,1,13.3,1.5,8,256,0,0,0,0,0,1,0,1,0,0,1.6,45128.16
Dell,Notebook,Linux,1920,1080,2073600,0,0,15.6,2.2,8,0,1024,0,0,0,1,0,0,1,0,0,2.7,31962.672
Dell,Notebook,Linux,1920,1080,2073600,0,0,15.6,2.2,4,256,0,0,0,0,1,0,0,1,0,0,2.0,25840.8
Asus,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,2.0,6,256,0,0,0,1,0,0,0,1,0,0,2.4,30742.56
HP,Gaming,Windows 10,1920,1080,2073600,1,0,15.6,2.62,12,128,1024,0,0,1,0,0,0,1,0,0,2.8,66546.72
HP,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,1.91,8,256,0,0,0,0,1,0,0,1,0,0,2.7,38308.32
HP,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,2.1,4,0,500,0,0,0,1,0,0,0,1,0,1.5,18594.72
Dell,Notebook,Linux,1920,1080,2073600,0,0,15.6,2.2,8,0,1024,0,0,0,1,0,0,1,0,0,1.6,34472.16
HP,Ultrabook,Windows 10,1920,1080,2073600,1,0,13.3,1.38,8,256,0,0,0,1,0,0,0,1,0,0,2.7,59620.32
Microsoft,Ultrabook,Windows 10 S,2256,1504,3393024,0,1,13.5,1.252,8,256,0,0,0,0,0,1,0,1,0,0,2.5,71395.2
HP,Notebook,Windows 10,1920,1080,2073600,1,0,14.0,1.58,6,256,0,0,0,1,0,0,0,1,0,0,2.5,35111.52
Lenovo,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,1.85,4,0,1024,0,0,0,0,1,0,1,0,0,2.0,22105.872
Asus,Ultrabook,Windows 10,1920,1080,2073600,1,0,14.0,1.3,8,256,0,0,0,1,0,0,0,1,0,0,2.7,63563.04
MSI,Gaming,Windows 10,1920,1080,2073600,0,0,15.6,2.2,16,256,1024,0,0,1,0,0,0,1,0,0,2.8,69210.72
Lenovo,Notebook,Windows 10,1920,1080,2073600,1,0,14.0,1.58,8,256,0,0,0,0,0,1,0,1,0,0,2.7,78854.4
Asus,Ultrabook,Windows 10,1920,1080,2073600,0,0,15.6,1.5,16,256,1024,0,0,1,0,0,0,1,0,0,1.8,67239.36
Dell,Ultrabook,Windows 10,3200,1800,5760000,0,1,13.3,1.23,8,256,0,0,0,0,0,1,0,1,0,0,2.4,73473.12
Lenovo,2 in 1 Convertible,Windows 10,1920,1080,2073600,1,1,13.3,1.37,8,256,0,0,0,0,0,1,0,1,0,0,2.5,74538.72
HP,Notebook,Windows 10,1366,768,1049088,1,0,14.0,1.63,4,0,500,0,0,0,0,1,0,1,0,0,1.6,38468.16
Dell,Ultrabook,Windows 10,1920,1080,2073600,1,0,13.3,1.21,8,256,0,0,0,0,0,1,0,1,0,0,1.6,86793.12
HP,2 in 1 Convertible,Windows 10,1920,1080,2073600,1,1,13.3,1.26,8,256,0,0,0,0,0,1,0,1,0,0,1.6,74538.1872
HP,Notebook,Windows 10,1920,1080,2073600,0,0,14.0,1.63,8,512,0,0,0,0,0,1,0,1,0,0,1.8,57755.52
Dell,Notebook,Windows 10,1920,1080,2073600,1,0,15.6,2.16,8,256,1024,0,0,1,0,0,0,1,0,0,1.8,60223.9824
Asus,Notebook,Windows 10,1920,1080,2073600,0,0,17.3,2.0,4,0,1024,0,0,1,0,0,0,1,0,0,2.0,30049.92
Asus,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,1.7,8,256,0,0,0,1,0,0,0,1,0,0,1.8,59567.04
Acer,Notebook,Windows 10,1920,1080,2073600,1,1,15.6,2.1,6,0,1024,0,0,0,0,1,0,1,0,0,2.4,25521.12
MSI,Gaming,Windows 10,1920,1080,2073600,0,0,15.6,1.8,16,256,2048,0,0,1,0,0,0,1,0,0,2.8,119427.12
Lenovo,Notebook,No OS,1920,1080,2073600,0,0,15.6,2.2,8,256,0,0,0,1,0,0,0,1,0,0,2.5,33513.12
HP,Notebook,Windows 10,1920,1080,2073600,0,0,17.3,2.5,16,512,0,0,0,1,0,0,0,1,0,0,1.8,67718.88
Acer,Notebook,Windows 10,1366,768,1049088,0,0,15.6,2.1,4,256,0,0,0,0,1,0,0,0,1,0,3.0,24029.28
HP,Notebook,No OS,1366,768,1049088,0,0,15.6,1.86,4,0,500,0,0,0,0,1,0,1,0,0,1.6,13799.52
HP,Notebook,Windows 10,1920,1080,2073600,0,0,14.0,1.63,8,0,1024,0,0,0,0,1,0,1,0,0,1.6,43263.36
Asus,Notebook,Windows 10 S,1366,768,1049088,0,0,14.0,1.65,4,64,0,0,0,0,1,0,0,0,1,0,1.5,14811.3072
Dell,Notebook,Windows 10,1920,1080,2073600,0,0,17.3,2.8,16,256,2048,0,0,0,1,0,0,1,0,0,1.8,74378.88
HP,Notebook,Windows 10,1920,1080,2073600,0,0,17.3,2.5,8,256,0,0,0,0,0,1,0,1,0,0,1.6,49443.84
Dell,Notebook,Windows 10,1366,768,1049088,0,0,15.6,2.36,8,0,1024,0,0,0,1,0,0,1,0,0,2.5,34045.3872
Dell,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,2.2,4,0,1024,0,0,0,1,0,0,1,0,0,2.0,23922.72
Acer,Ultrabook,Windows 10,1920,1080,2073600,1,0,14.0,1.6,8,256,0,0,0,0,0,1,0,1,0,0,1.8,47099.52
Acer,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,2.2,4,256,0,0,0,1,0,0,0,1,0,0,2.7,30476.16
HP,Notebook,Windows 10,1366,768,1049088,0,0,15.6,2.05,8,0,1024,0,0,0,0,1,0,1,0,0,2.7,31861.44
HP,Notebook,Windows 10,1920,1080,2073600,0,0,14.0,1.63,8,256,0,0,0,0,0,1,0,1,0,0,1.8,52640.64
Lenovo,Notebook,No OS,1366,768,1049088,0,0,15.6,1.9,4,0,1024,0,0,0,0,1,0,1,0,0,1.1,13445.7408
Asus,Gaming,Windows 10,1920,1080,2073600,0,0,17.3,3.0,8,128,1024,0,0,1,0,0,0,1,0,0,2.5,49976.64
Lenovo,Notebook,No OS,1920,1080,2073600,0,0,15.6,2.2,4,0,1024,0,0,1,0,0,0,1,0,0,2.5,26586.72
HP,Notebook,Windows 10,1920,1080,2073600,1,0,13.3,1.32,4,256,0,0,0,0,0,1,0,1,0,0,2.5,37242.72
Acer,Notebook,Windows 10,1920,1080,2073600,1,0,17.3,3.0,4,0,1024,0,0,1,0,0,0,1,0,0,2.7,34898.4
Lenovo,Notebook,Windows 10,1920,1080,2073600,1,0,14.0,1.75,8,256,0,0,0,0,1,0,0,1,0,0,1.6,59461.5456
Lenovo,Gaming,No OS,1920,1080,2073600,1,0,15.6,2.4,8,256,0,0,0,1,0,0,0,1,0,0,2.8,46300.32
Toshiba,Notebook,Windows 10,1366,768,1049088,0,0,15.6,2.1,4,0,500,0,0,0,0,1,0,1,0,0,2.3,32074.56
HP,Notebook,Windows 10,1366,768,1049088,0,0,15.6,1.86,4,256,0,0,0,0,1,0,0,0,1,0,2.5,19660.32
Asus,Ultrabook,Windows 10,1920,1080,2073600,0,0,14.0,1.25,8,256,0,0,0,0,0,1,0,1,0,0,1.8,58554.72
HP,Ultrabook,Windows 10,3840,2160,8294400,1,1,12.5,0.97,8,512,0,0,0,0,0,1,0,1,0,0,1.2,107305.92
Asus,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,2.0,4,0,1024,0,0,0,0,1,0,1,0,0,1.1,18328.32
MSI,Gaming,Windows 10,1920,1080,2073600,0,0,17.3,2.9,16,256,1024,0,0,1,0,0,0,1,0,0,2.8,108105.12
Acer,Notebook,Windows 10,1366,768,1049088,0,0,15.6,2.1,4,0,1024,0,0,0,0,1,0,1,0,0,2.0,23816.16
Dell,Gaming,Windows 10,1920,1080,2073600,0,0,15.6,2.56,16,512,0,0,0,1,0,0,0,1,0,0,2.8,66560.5728
Dell,Gaming,Windows 10,1920,1080,2073600,0,0,15.6,2.62,8,0,0,1024,0,1,0,0,0,1,0,0,2.8,47898.72
Lenovo,Notebook,Windows 10,1366,768,1049088,0,0,15.6,1.9,4,128,0,0,0,0,0,1,0,1,0,0,2.5,26533.44
MSI,Gaming,Windows 10,1920,1080,2073600,0,0,17.3,2.8,16,256,1024,0,0,1,0,0,0,1,0,0,2.8,100699.2
HP,Ultrabook,Windows 10,1920,1080,2073600,0,0,14.0,1.48,4,256,0,0,0,0,0,1,0,1,0,0,2.7,57648.96
HP,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,1.91,6,256,0,0,0,0,1,0,0,1,0,0,1.6,32980.32
Lenovo,2 in 1 Convertible,Windows 10,1920,1080,2073600,1,1,14.0,1.74,4,256,0,0,0,0,0,1,0,1,0,0,2.4,33513.12
Asus,2 in 1 Convertible,Windows 10,1920,1080,2073600,0,1,13.3,1.1,8,256,0,0,0,0,0,1,0,1,0,0,1.6,70063.2
Dell,2 in 1 Convertible,Windows 10,1920,1080,2073600,0,1,15.6,1.56,8,256,0,0,0,0,0,1,0,1,0,0,1.8,55890.72
Toshiba,Notebook,Windows 10,1366,768,1049088,0,0,15.6,2.1,4,0,500,0,0,0,0,1,0,1,0,0,2.2,23816.16
Asus,Notebook,Windows 10,1366,768,1049088,0,0,15.6,2.03,4,0,1024,0,0,0,1,0,0,0,1,0,3.0,21471.84
Acer,Notebook,Windows 10,1920,1080,2073600,1,0,17.3,3.0,4,256,0,0,0,1,0,0,0,1,0,0,1.6,42890.4
Dell,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,2.13,8,256,0,0,0,0,1,0,0,1,0,0,1.6,38787.84
Lenovo,Gaming,Windows 10,1920,1080,2073600,1,0,15.6,2.5,16,256,0,0,0,1,0,0,0,1,0,0,2.8,57489.12
Acer,Notebook,Windows 10,1366,768,1049088,0,0,15.6,2.1,4,0,1024,0,0,0,0,1,0,1,0,0,1.1,18541.44
MSI,Gaming,Windows 10,1920,1080,2073600,1,0,15.6,2.4,16,256,1024,0,0,1,0,0,0,1,0,0,2.8,95850.72
Acer,Notebook,Windows 10,1366,768,1049088,0,0,15.6,2.1,4,0,1024,0,0,0,0,1,0,1,0,0,1.1,19367.8128
Dell,Gaming,Windows 10,1920,1080,2073600,0,0,15.6,2.56,8,128,1024,0,0,1,0,0,0,1,0,0,2.8,56502.9072
Acer,Notebook,Windows 10,1920,1080,2073600,1,0,17.3,3.0,8,256,0,0,0,1,0,0,0,1,0,0,1.6,45501.12
HP,Notebook,Windows 10,1920,1080,2073600,1,0,13.3,1.49,4,0,500,0,0,0,0,1,0,1,0,0,1.6,40173.12
Huawei,Ultrabook,Windows 10,2160,1440,3110400,1,0,13.0,1.05,8,256,0,0,0,0,0,1,0,1,0,0,2.5,71874.72
HP,Notebook,Windows 10,1920,1080,2073600,1,0,17.3,2.71,6,0,2048,0,0,0,1,0,0,1,0,0,2.5,37242.72
Lenovo,Notebook,No OS,1366,768,1049088,0,0,15.6,2.2,4,0,500,0,0,0,1,0,0,0,1,0,2.9,16463.52
Toshiba,Notebook,Windows 10,1366,768,1049088,0,0,15.6,2.0,4,0,500,0,0,0,0,1,0,1,0,0,2.4,26053.92
HP,Notebook,Windows 10,1920,1080,2073600,0,0,17.3,2.5,8,256,0,0,0,1,0,0,0,1,0,0,1.6,49177.44
Dell,Notebook,Windows 10,1366,768,1049088,0,0,15.6,2.3,8,0,1024,0,0,0,0,1,0,1,0,0,2.4,24455.52
Acer,Notebook,Windows 10,1366,768,1049088,0,0,15.6,2.1,4,128,0,0,0,0,0,1,0,1,0,0,2.0,23922.72
MSI,Gaming,Windows 10,1920,1080,2073600,0,0,18.4,4.4,32,512,1024,0,0,1,0,0,0,1,0,0,2.9,149130.72
Lenovo,Notebook,Windows 10,1920,1080,2073600,0,0,15.6,1.9,8,128,1024,0,0,0,1,0,0,1,0,0,2.5,43316.64
HP,2 in 1 Convertible,Windows 10,3840,2160,8294400,1,1,13.3,1.29,8,256,0,0,0,0,0,1,0,1,0,0,1.6,79866.72
Dell,Notebook,Linux,1920,1080,2073600,0,0,15.6,2.02,16,256,2048,0,0,0,1,0,0,1,0,0,1.8,55890.72
Dell,Ultrabook,Windows 10,1920,1080,2073600,0,0,13.3,1.23,8,256,0,0,0,0,0,1,0,1,0,0,1.6,74538.72
Lenovo,2 in 1 Convertible,Windows 10,3840,2160,8294400,1,1,13.9,1.4,16,512,0,0,0,0,0,1,0,1,0,0,1.8,98514.72
Toshiba,Notebook,Windows 10,1366,768,1049088,0,0,15.6,2.0,8,128,0,0,0,0,0,1,0,1,0,0,2.5,42251.04
Xiaomi,Notebook,No OS,1920,1080,2073600,1,0,15.6,1.95,8,256,0,0,0,1,0,0,0,1,0,0,1.6,63882.72
Dell,Notebook,Windows 10,1920,1080,2073600,0,1,17.3,2.77,16,512,0,0,0,1,0,0,0,1,0,0,1.8,82530.72
Dell,Notebook,Windows 10,3840,2160,8294400,0,1,15.6,2.06,16,512,0,0,0,1,0,0,0,1,0,0,2.8,127712.16
Lenovo,Gaming,No OS,1920,1080,2073600,1,0,15.6,2.4,8,256,0,0,0,1,0,0,0,1,0,0,2.5,41505.12
Acer,Ultrabook,Windows 10,1920,1080,2073600,1,0,13.3,1.12,8,256,0,0,0,0,0,1,0,1,0,0,1.2,52693.92
Dell,Notebook,Windows 10,1920,1080,2073600,0,0,17.3,2.8,8,128,1024,0,0,0,1,0,0,1,0,0,1.8,57808.8
Lenovo,2 in 1 Convertible,Windows 10,2560,1440,3686400,0,1,14.0,1.42,16,1024,0,0,0,0,0,1,0,1,0,0,2.7,150462.72
Vero,Notebook,Windows 10,1920,1080,2073600,1,0,14.0,1.3,4,0,0,0,32,0,0,1,0,1,0,0,1.1,13852.8
